MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Cryptococcus_gattii_VGI,Mock3,Qmin17,kraken2,NCBI,0.350212967,0.212643678,0.991957105
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,kraken2,NCBI,0.969856599,0.949026346,0.991621783
Diplodia_seriata,Mock3,Qmin17,kraken2,NCBI,0.901359893,0.821004885,0.999150743
Fusarium_pseudograminearum,Mock3,Qmin17,kraken2,NCBI,0.964294049,0.931469793,0.999516207
Kluyveromyces_lactis,Mock3,Qmin17,kraken2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,kraken2,NCBI,0.978688857,0.961323764,0.996692848
Kodamaea_ohmeri,Mock3,Qmin17,kraken2,NCBI,0.972217111,0.948653501,0.996981132
Leptosphaeria_maculans,Mock3,Qmin17,kraken2,NCBI,0.971088137,0.944444444,0.999278759
Penicillium_chrysogenum,Mock3,Qmin17,kraken2,NCBI,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,kraken2,NCBI,0.963419186,0.952750092,0.974329936
Pichia_membranifaciens,Mock3,Qmin17,kraken2,NCBI,0.832761578,0.713970588,0.998971193
Quambalaria_cyanescens,Mock3,Qmin17,kraken2,NCBI,0.89278206,0.807010135,0.998954522
Rhodotorula_mucilaginosa,Mock3,Qmin17,kraken2,NCBI,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin17,kraken2,NCBI,0.945768283,0.897815913,0.999131944
Trichomonascus_ciferrii,Mock3,Qmin17,kraken2,NCBI,0.828580006,0.710607621,0.993520518
Trichosporon_asahii,Mock3,Qmin17,kraken2,NCBI,0.940594059,0.89047854,0.996686913
Tuber_brumale,Mock3,Qmin17,kraken2,NCBI,0.854356019,0.746609841,0.998445596
Wickerhamomyces_anomalus,Mock3,Qmin17,kraken2,NCBI,0.96877502,0.943837754,0.995065789
Yamadazyma_mexicana,Mock3,Qmin17,kraken2,NCBI,0.982268317,0.967699407,0.997282609
Yamadazyma_scolyti,Mock3,Qmin17,kraken2,NCBI,0.981094527,0.964774951,0.997975709
Yarrowia_lipolytica,Mock3,Qmin17,kraken2,NCBI,0.925081433,0.962349398,0.890592334
Zymoseptoria_tritici,Mock3,Qmin17,kraken2,NCBI,0.975157337,0.952750809,0.998643148
Aspergillus_flavus,Mock3,Qmin17,dnabarcoder,NCBI,0.037001898,0.018849686,1
Aspergillus_fumigatus,Mock3,Qmin17,dnabarcoder,NCBI,0.034323432,0.017461383,1
Blastobotrys_adeninivorans,Mock3,Qmin17,dnabarcoder,NCBI,0.972578966,0.950152594,0.996089584
Blastobotrys_proliferans,Mock3,Qmin17,dnabarcoder,NCBI,0.982886905,0.970609846,0.995478523
Candida_boleticola,Mock3,Qmin17,dnabarcoder,NCBI,0.923566879,0.861955086,0.994664634
Candida_caryicola,Mock3,Qmin17,dnabarcoder,NCBI,0.964785745,0.935802469,0.995621716
Candida_catenulata,Mock3,Qmin17,dnabarcoder,NCBI,0.974588939,0.95601173,0.993902439
Candida_dubliniensis,Mock3,Qmin17,dnabarcoder,NCBI,0.969731259,0.943832599,0.997091332
Candida_glabrata,Mock3,Qmin17,dnabarcoder,NCBI,0.827953805,0.709284627,0.9943101
Candida_metapsilosis,Mock3,Qmin17,dnabarcoder,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,dnabarcoder,NCBI,0.972124493,0.949762031,0.99556541
Candida_tropicalis,Mock3,Qmin17,dnabarcoder,NCBI,0.961325967,0.932142857,0.992395437
Candida_zeylanoides,Mock3,Qmin17,dnabarcoder,NCBI,0.980905619,0.970842333,0.991179713
Cryptococcus_gattii_VGI,Mock3,Qmin17,dnabarcoder,NCBI,0.47972089,0.316091954,0.994575045
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,dnabarcoder,NCBI,0.88642132,0.800114548,0.993598862
Diplodia_seriata,Mock3,Qmin17,dnabarcoder,NCBI,0.946943272,0.899860433,0.999225107
Fusarium_pseudograminearum,Mock3,Qmin17,dnabarcoder,NCBI,0.964294049,0.931469793,0.999516207
Kluyveromyces_lactis,Mock3,Qmin17,dnabarcoder,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,dnabarcoder,NCBI,0.970540098,0.945773525,0.996638655
Kodamaea_ohmeri,Mock3,Qmin17,dnabarcoder,NCBI,0.972027972,0.948294434,0.996979992
Leptosphaeria_maculans,Mock3,Qmin17,dnabarcoder,NCBI,0.974493361,0.950579414,0.999641577
Penicillium_chrysogenum,Mock3,Qmin17,dnabarcoder,NCBI,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,dnabarcoder,NCBI,0.959715196,0.945367294,0.974505327
Pichia_membranifaciens,Mock3,Qmin17,dnabarcoder,NCBI,0.818576389,0.693382353,0.998940678
Quambalaria_cyanescens,Mock3,Qmin17,dnabarcoder,NCBI,0.91184573,0.838682432,0.998993964
Rhodotorula_mucilaginosa,Mock3,Qmin17,dnabarcoder,NCBI,0.887424807,0.801345059,0.994223363
Scedosporium_aurantiacum,Mock3,Qmin17,dnabarcoder,NCBI,0.941419142,0.890015601,0.999124343
Trichomonascus_ciferrii,Mock3,Qmin17,dnabarcoder,NCBI,0.067661692,0.035015448,1
Trichosporon_asahii,Mock3,Qmin17,dnabarcoder,NCBI,0.945812808,0.899851998,0.996721311
Tuber_brumale,Mock3,Qmin17,dnabarcoder,NCBI,0.845655573,0.733436652,0.998417722
Wickerhamomyces_anomalus,Mock3,Qmin17,dnabarcoder,NCBI,0.960871319,0.929017161,0.994987469
Yamadazyma_mexicana,Mock3,Qmin17,dnabarcoder,NCBI,0.977135171,0.95781147,0.997254633
Yamadazyma_scolyti,Mock3,Qmin17,dnabarcoder,NCBI,0.977007664,0.956294847,0.998637602
Yarrowia_lipolytica,Mock3,Qmin17,dnabarcoder,NCBI,0,0,0
Zymoseptoria_tritici,Mock3,Qmin17,dnabarcoder,NCBI,0.959650303,0.923624595,0.99860042
Aspergillus_flavus,Mock3,Qmin17,emu,NCBI,0,0,0
Aspergillus_fumigatus,Mock3,Qmin17,emu,NCBI,0.038292373,0.019519918,1
Blastobotrys_adeninivorans,Mock3,Qmin17,emu,NCBI,0.96686691,0.93585901,1
Blastobotrys_proliferans,Mock3,Qmin17,emu,NCBI,0.985321169,0.97106704,1
Candida_boleticola,Mock3,Qmin17,emu,NCBI,0.975788825,0.952722299,1
Candida_caryicola,Mock3,Qmin17,emu,NCBI,0.948297986,0.901679348,1
Candida_catenulata,Mock3,Qmin17,emu,NCBI,0.59347604,0.421945204,1
Candida_dubliniensis,Mock3,Qmin17,emu,NCBI,0.982347997,0.96530837,1
Candida_glabrata,Mock3,Qmin17,emu,NCBI,0.676270149,0.510882299,1
Candida_metapsilosis,Mock3,Qmin17,emu,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,emu,NCBI,0.976035792,0.954708861,0.998337324
